ACTIVITY,TIME,SL
3,13718.2,143417.0
3,6795.8,12570.1
4,10138.3,26292.9
2,7516.98,9270.66
4,7588.46,4175.55
4,5347.14,4136.87
0,13372.0,190854.0
1,11956.1,74055.4
3,12895.3,60001.1
2,5600.53,7611.03
4,10132.6,32119.0
0,8184.05,8281.0
2,11167.7,112064.0
3,10900.0,37792.9
2,8374.31,9399.96
5,7880.02,8991.08
0,12895.0,59376.0
0,12710.0,88837.0
4,26071.4,255509.0
0,12925.8,81599.0
3,11197.0,79880.6
2,6663.65,4945.65
0,21183.2,324568.0
2,3820.78,1454.91
4,8445.43,11069.7
4,7995.06,9015.01
0,4534.61,3397.19
3,4268.21,2013.37
0,6850.9,4364.0
2,11604.3,34115.6
3,23904.3,276650.0
0,7799.87,16190.0
2,6327.04,5299.65
4,13670.9,77654.4
0,12756.0,68486.0
0,10707.6,20770.0
3,12827.8,83655.8
2,11797.7,34617.4
3,13869.1,66809.9
4,13667.8,80111.3
0,14366.1,173121.0
1,8986.39,17200.1
4,10036.3,51996.9
2,8231.33,9469.98
0,22876.7,414869.0
4,6763.03,7251.57
2,7167.38,5621.85
0,13385.7,158829.0
4,5410.99,4273.35
0,12833.3,146095.0
3,8902.07,24049.4
0,10832.4,47380.0
2,3926.41,2174.68
0,4883.25,3228.0
5,8628.43,29360.4
0,4087.59,2310.6
5,11423.5,39269.0
2,20644.0,173815.0
2,3954.47,1444.89
0,11409.0,33376.0
3,8678.42,25827.7
0,12856.0,95849.0
2,3838.69,1444.28
3,9585.89,26095.7
2,3959.56,1472.27
4,5208.86,3135.02
0,14581.8,112831.0
0,13324.1,137340.0
3,10725.9,37881.7
2,5465.85,4221.11
5,9944.07,36296.1
0,11366.8,55567.0
4,6164.25,7671.4
4,14388.7,67810.7
5,23304.3,278144.0
2,6856.01,5413.24
2,16317.7,137623.0
3,10556.3,49268.8
2,13693.2,45616.8
4,21684.6,514203.0
3,9005.99,12426.5
0,8060.63,29645.5
4,17060.9,190062.0
4,9269.4,26717.1
0,7227.66,13730.0
0,7056.68,11808.0
5,12650.3,46367.0
3,9388.22,27247.8
0,15584.2,246354.0
2,6410.0,5179.39
3,8588.78,26821.5
0,15496.8,128042.0
0,16746.5,59076.0
0,8355.73,21771.0
4,7477.83,4889.23
4,11109.5,43303.4
5,9516.41,37831.0
4,4456.48,3060.4
5,9903.3,36390.2
4,22571.5,516371.0
0,9063.3,23613.0
3,5221.12,3526.35
3,13138.9,89889.3
0,16658.2,137142.0
0,11214.7,81200.0
2,12404.3,73728.5
2,24545.8,471687.0
1,2478.68,51.0363
4,8718.89,11511.4
3,10631.9,27523.1
2,13019.7,114306.0
2,9121.26,10166.8
0,5925.06,7643.0
3,13540.8,51676.6
4,19548.5,161497.0
2,4585.12,4104.16
3,10102.4,49292.3
2,13560.7,139655.0
4,25436.6,281385.0
5,10435.6,28705.8
4,7639.75,15775.9
2,12830.7,115169.0
2,10364.4,59120.7
0,11223.7,91969.0
5,20184.2,183128.0
0,6772.75,7659.0
4,8704.7,11131.3
2,5536.04,4149.42
4,4990.86,3275.41
0,11796.1,53810.0
1,3974.61,2203.07
0,12402.8,75233.0
4,9293.86,13624.8
3,4359.93,2059.16
2,6123.31,4963.28
4,16071.1,192851.0
3,13097.7,79842.1
4,5189.83,4370.62
3,11254.4,43140.8
2,10084.0,10370.1
2,8130.62,11988.4
5,5559.51,10634.7
0,8627.92,9540.0
3,18349.8,161641.0
4,18448.4,202825.0
0,13224.3,82194.0
5,14395.8,79281.5
2,16106.6,137559.0
0,12905.3,66038.0
3,6865.16,9301.76
0,7751.4,9454.0
1,5756.71,4789.96
1,9154.7,16925.5
1,12181.7,73788.1
4,10320.0,35123.2
0,9972.31,22175.0
0,18112.1,219938.0
0,8162.41,10459.0
4,10362.8,30853.9
0,9747.68,32137.0
5,6380.73,7437.4
3,7058.34,9603.81
5,4907.6,3015.32
4,13138.2,52427.9
3,9552.34,16681.0
4,11995.1,87520.3
4,8132.28,9525.59
5,14103.9,102425.0
0,5304.7,4505.0
3,13806.9,141333.0
3,13720.3,141887.0
0,16725.1,197745.0
2,4007.73,1456.39
4,5586.67,1782.69
4,10943.3,27206.0
3,5079.37,3067.15
3,5345.81,4452.99
4,9566.74,27102.4
4,5682.13,4117.44
0,12736.7,75832.0
4,10370.6,57372.2
3,21884.5,410997.0
4,20444.0,192110.0
3,15702.8,115053.0
0,7827.7,7481.0
4,5143.99,4398.6
1,2406.77,50.8227
3,7860.77,9229.4
5,7756.73,4711.47
3,9259.58,27517.0
3,14685.7,52757.5
0,12770.9,74941.0
2,8306.72,12053.4
1,3853.74,2149.74
2,4009.37,1446.68
3,12857.6,52380.4
2,3987.88,2192.73
3,9406.46,22695.2
2,7434.75,5689.3
3,12939.0,74465.9
0,4554.31,921.0
5,7852.53,7042.29
2,12685.2,74685.3
2,5978.39,7675.44
0,6790.71,4089.3
1,2475.05,52.7779
3,7472.41,14097.5
4,10427.8,49118.6
4,6477.57,7392.17
2,19954.4,243924.0
1,10303.7,67843.8
3,13364.7,90465.4
0,10984.0,43581.0
5,14337.6,108191.0
2,6378.62,13390.1
2,8120.38,26166.5
0,14718.2,134636.0
2,10095.3,10451.8
0,9762.95,64812.0
3,13282.0,75698.3
0,4652.18,1101.0
0,13245.3,89249.0
0,19058.8,186884.0
3,5854.15,7370.16
0,11353.1,80131.0
2,5864.46,7671.02
5,5760.12,11109.3
4,14477.5,96071.0
4,4483.99,2583.83
3,16206.8,115998.0
4,10946.8,86138.8
5,8944.21,29057.2
5,5259.65,4773.61
0,14504.1,104172.0
5,9361.69,12592.1
0,11202.1,35439.0
4,9603.46,27772.1
5,8700.82,17284.0
3,8414.71,17111.0
2,5040.31,3804.6
4,12731.4,55797.2
4,9238.75,20452.0
0,7929.02,8877.0
0,5598.91,1102.0
4,6259.88,6646.73
3,7801.68,13927.0
2,13597.5,41770.7
2,4044.93,2195.63
0,17549.8,190154.0
3,9240.35,10029.9
3,11409.4,50480.1
0,11100.4,76049.0
0,6145.48,9138.0
2,12171.1,74748.9
3,13218.6,51446.8
3,11898.0,46156.3
2,4548.93,2819.88
0,11002.8,70251.0
0,7334.17,6997.0
3,20675.4,244859.0
0,9868.87,35005.0
4,10073.2,27186.4
5,10641.6,38424.7
0,9625.67,29224.0
0,15715.5,168482.0
0,9309.07,72643.0
0,7143.43,17970.0
0,6661.86,5361.0
2,5936.43,7666.13
5,11007.7,58003.8
0,13865.0,70582.0
0,10648.7,53396.0
2,5892.81,4915.01
0,15098.8,66975.0
2,6310.09,5432.27
4,15649.6,141759.0
3,4674.13,3944.51
4,5356.78,2237.33
0,11168.3,64955.0
5,7813.38,9183.57
0,12202.2,41137.0
2,13812.6,139512.0
3,8122.78,5330.75
3,12953.8,60657.5
4,8872.56,28649.6
0,11597.3,39536.0
0,13401.8,61361.0
0,6366.8,2459.0
3,9388.91,25747.5
5,14291.1,65271.8
4,9615.02,25822.5
0,10254.9,39993.0
5,9679.76,29836.0
0,9527.61,25180.0
3,11133.0,26813.1
3,16066.4,115345.0
0,8008.15,12458.0
3,13244.2,90867.7
4,13690.2,52665.7
3,12682.8,74450.8
3,2654.25,50.1395
5,4741.31,2407.48
4,8906.23,20582.5
0,12462.7,109412.0
4,6626.46,10442.1
3,7424.17,5241.91
4,8951.77,11323.5
2,11376.6,32234.5
1,2586.38,47.7134
2,4179.65,2190.45
2,7818.65,9476.29
5,14388.0,95056.9
0,19923.7,301046.0
2,15079.9,117879.0
2,4095.87,2250.05
0,7200.48,21532.0
0,14156.9,135304.0
3,23867.2,470143.0
3,9437.37,39537.0
0,19262.6,260781.0
3,8200.54,11748.7
0,7678.78,12467.0
4,9711.58,12594.5
4,8696.07,11055.3
5,18162.8,202432.0
3,4157.84,1932.93
4,11192.5,42299.0
5,9943.07,34145.0
1,6056.62,5194.69
2,11070.1,73612.8
4,4530.17,3294.57
0,8164.92,10384.0
3,22272.6,414308.0
0,12758.1,62379.0
2,19208.4,150697.0
4,25362.7,474761.0
4,7107.27,4038.1
0,10635.8,34152.0
3,11750.3,44735.6
3,8563.17,24941.5
4,8250.17,9376.3
5,14217.3,78604.5
4,8976.19,12457.1
2,11408.7,73530.7
0,10116.6,8766.0
4,8536.43,9470.7
4,8353.33,4602.88
2,5154.16,3422.31
4,5898.7,10981.1
5,5814.6,11133.1
2,9758.43,20341.6
4,2471.38,50.0522
4,12432.4,92219.9
3,13078.1,59655.6
2,7314.21,9476.03
4,9441.23,26259.5
5,7819.98,4634.86
2,10329.0,10328.6
0,13495.6,116247.0
3,11866.8,75220.0
0,5400.55,12154.0
3,20693.5,240604.0
4,8750.48,9768.44
4,9081.1,17122.2
2,12243.5,73427.0
3,21518.7,242311.0
2,5864.34,7232.32
3,4839.23,2999.9
4,11421.1,27060.0
4,23539.3,521716.0
0,14427.1,57684.0
4,13876.3,62082.5
4,7776.13,9537.15
4,2376.63,50.2179
3,11621.7,78331.6
4,9189.37,13634.2
0,13037.8,119751.0
3,24079.6,255885.0
4,6056.15,11207.0
2,11409.7,73756.6
3,14771.1,142495.0
0,13504.8,62330.0
5,7809.96,12552.2
1,5984.86,4684.18
3,5489.41,3545.77
4,2761.39,51.7655
2,3823.77,1477.82
0,11849.0,26594.0
0,10433.5,57935.0
5,8608.3,19573.6
3,9408.37,27442.0
0,16159.2,113629.0
0,7214.29,8242.0
4,9021.87,28025.4
2,13711.3,47455.0
1,5775.0,4771.38
0,27093.0,1005950.0
3,7224.2,15659.5
0,6977.83,4124.0
0,21874.0,98011.0
5,9627.81,36016.8
0,29018.8,814047.0
3,8424.32,51426.8
1,5827.88,4772.0
0,16541.8,142461.0
4,10865.9,39342.2
5,10652.0,27457.8
4,9789.85,26617.4
4,9301.52,11334.8
2,6681.49,9249.31
4,9018.74,27898.6
3,14591.8,59810.2
3,13394.9,50782.6
3,24861.1,263742.0
0,7076.03,7333.25
2,11954.0,114599.0
0,13424.3,139083.0
3,8169.22,11978.8
3,9660.44,39277.0
3,24203.2,270592.0
4,8804.33,27963.6
3,14193.6,52252.6
3,5469.77,2774.29
2,5778.87,7569.3
0,32956.9,509795.0
4,14416.2,51256.1
0,13851.0,97433.0
4,23333.9,284119.0
4,9504.96,12630.1
4,10523.0,50974.9
0,3667.89,1830.27
0,25488.7,674161.0
0,6279.92,2887.0
5,9031.34,20500.1
0,18386.1,305592.0
5,9710.51,30534.6
4,9046.0,13687.6
0,12232.0,83120.0
4,7303.28,4017.06
3,4934.37,4383.61
0,19078.9,115932.0
4,10125.3,28563.3
3,13200.8,47551.1
0,8862.58,18382.0
4,4809.19,4417.42
2,4000.39,2215.9
0,10245.7,39694.0
2,5608.82,4196.28
0,7066.77,12822.0
0,5092.22,4613.0
0,8292.36,19094.0
0,8070.5,21314.0
0,7907.16,10368.0
0,8921.63,16699.0
3,21426.5,195815.0
4,10703.5,10140.8
2,7044.87,13932.3
2,6720.76,5328.69
4,13248.8,60886.5
4,14484.5,143616.0
4,8735.98,27778.9
3,15570.6,116371.0
5,3768.76,1172.52
2,6394.53,13350.1
3,12721.0,116199.0
0,8664.9,21422.0
4,16682.6,143687.0
5,8435.42,13576.6
4,24089.1,262192.0
0,14220.2,115403.0
0,9628.76,29902.0
3,17981.6,172276.0
2,19755.8,409617.0
2,12083.6,73304.2
4,8365.67,9604.68
0,14801.3,164892.0
5,12579.6,71755.5
0,4055.36,5888.0
5,14825.5,80709.0
2,4552.02,2231.54
1,5260.89,4275.34
4,22996.6,517731.0
4,9873.69,34804.4
2,8458.75,19830.7
3,9390.24,26582.3
2,4735.26,3979.56
3,14051.3,60594.5
3,4314.17,1954.68
0,29522.8,762649.0
0,16318.0,210590.0
4,9801.17,27540.5
4,6085.49,11794.9
3,10831.5,38480.2
3,10012.0,38428.4
0,20831.8,210073.0
3,8733.6,12095.4
3,8763.84,16796.1
0,9147.41,39660.0
0,8528.23,17259.0
4,9088.0,22896.3
0,5462.0,5518.0
4,13285.8,60281.9
2,7025.08,5246.18
3,9594.94,23053.1
3,11324.6,50307.3
0,16720.2,133299.0
4,11613.8,42959.5
3,8703.42,12586.2
0,10861.9,43273.0
0,5743.9,3670.0
0,20346.2,451497.0
3,5147.75,3478.04
2,7787.46,4323.71
0,13716.3,52042.0
2,24501.9,472379.0
3,9000.64,25077.5
2,5255.95,3495.31
3,8535.96,13514.6
3,9373.94,39216.3
4,12580.2,93941.6
3,5313.22,4309.04
4,8787.16,20778.6
0,7058.96,18564.0
4,16206.7,145202.0
4,11265.7,30905.5
0,10019.7,43592.0
0,17940.9,135164.0
2,8364.22,10480.5
0,6490.39,6538.0
2,5792.48,4238.4
3,5954.81,4296.1
4,13801.7,50351.6
3,11197.9,78141.2
4,12430.6,93230.1
4,22605.5,410715.0
5,14168.2,94226.5
4,7074.99,4139.57
2,11906.8,73852.8
5,9253.03,26983.0
3,10748.7,83878.2
4,6454.88,13768.5
5,7636.29,16480.6
4,11185.7,58393.6
4,18011.8,198454.0
5,14023.7,139739.0
0,9832.53,26728.0
0,7165.28,13299.0
0,7943.07,11931.0
3,8973.96,26629.6
0,27786.2,622142.0
4,14553.7,147106.0
0,13115.4,132299.0
2,11961.7,114625.0
3,5187.38,3336.77
0,9668.71,21528.0
4,18927.5,178766.0
3,8575.2,16781.0
0,13731.9,88591.3
2,3342.38,1306.6
3,13203.9,119128.0
3,4823.0,2904.45
0,16318.0,191669.0
0,23871.7,316380.0
3,24076.6,469701.0
0,8745.29,27356.0
4,6835.72,4042.8
3,4370.71,1889.72
2,5378.94,4290.38
0,35031.2,839199.0
2,8557.56,16694.1
0,9945.75,31692.0
4,14132.1,49640.3
4,9767.52,10227.6
0,13088.3,38582.0
5,8519.19,4677.3
2,11565.4,57992.2
5,14707.9,80511.1
4,9052.43,11077.3
4,10406.6,33142.6
4,12402.0,90207.5
4,9241.18,36781.6
3,7589.93,9536.42
0,10727.5,60535.0
0,14492.6,74877.0
0,24161.7,363088.0
3,15096.0,114304.0
3,10123.0,10390.1
0,13227.2,85425.0
0,9918.38,41130.0
4,9614.2,25683.3
3,7992.31,24754.7
4,7955.62,27162.8
4,5061.66,3752.38
0,30890.7,890793.0
4,18867.5,197979.0
5,9739.95,35558.1
3,12603.2,78304.5
4,9099.99,16482.4
5,11977.3,91286.1
5,10066.5,37230.3
4,5389.69,2995.97
3,3367.58,1409.09
3,12232.6,60188.3
0,12663.4,79528.0
4,7878.57,12922.1
3,11995.7,113176.0
4,18552.8,160616.0
0,16321.1,100742.0
5,9757.49,30542.0
3,7086.23,10422.7
3,14059.8,60700.0
4,5552.93,10965.8
0,5654.66,5248.0
3,6432.89,12309.5
4,9989.04,36671.1
3,11022.3,37999.9
0,10342.2,40023.0
4,8259.26,21169.0
0,13974.6,205332.0
4,18630.6,175573.0
0,3897.95,1636.0
4,9408.29,30417.9
0,13110.6,47322.9
5,13429.1,53782.9
4,19876.1,251162.0
4,8874.23,13856.5
3,16976.2,145422.0
4,11155.1,52644.9
0,10508.8,24043.0
4,7659.06,9547.41
2,15178.7,115650.0
3,13777.7,51552.0
0,5082.03,1918.0
4,9103.17,29620.7
0,11987.8,72940.0
0,13023.9,95238.0
0,11542.0,54205.0
3,15665.7,115945.0
4,7165.0,4040.21
3,24700.4,281528.0
0,18501.4,389928.0
0,12289.9,41736.0
2,5040.09,4283.09
4,9644.63,25580.3
5,5085.97,4330.18
5,9378.69,30368.4
2,5062.13,4277.82
0,11429.2,40005.0
0,13745.6,49955.0
3,14741.9,59292.0
2,8153.95,9274.64
4,8616.56,30151.6
3,8135.0,12035.3
0,7838.21,18540.0
2,25062.9,473976.0
5,5659.09,1702.87
0,18218.5,260837.0
4,13413.5,60616.4
3,13846.5,91755.4
5,5454.59,4333.47
0,10773.3,24336.0
4,22537.5,515348.0
4,8196.01,12311.5
5,9561.38,30266.0
3,11980.6,46667.6
0,12369.5,60324.0
4,9859.61,33654.0
0,19437.2,236439.0
4,13994.7,52524.6
4,12456.8,78539.8
1,5502.12,4355.45
0,14261.2,68363.0
3,6513.48,10299.4
5,18414.0,204909.0
4,7590.31,15608.1
5,12031.5,71157.7
2,15476.9,87432.8
3,23883.2,471876.0
4,9949.03,32710.2
3,5840.35,7529.36
2,7826.51,9444.61
0,13749.4,59648.0
0,13509.6,92110.0
0,16094.5,153002.0
4,10844.0,27717.4
2,4857.42,3793.96
0,9498.21,20818.0
5,9476.59,28967.3
0,19302.0,267837.0
5,9124.45,28716.8
0,14971.3,93084.0
0,10235.6,90593.0
5,9768.55,38130.4
4,8039.89,12862.3
0,11877.0,48500.0
4,9540.37,26527.4
3,9749.23,26309.8
2,22162.3,409583.0
4,11091.6,39298.3
4,13635.3,97387.4
3,13112.5,52075.4
0,5813.51,3441.0
0,8630.13,14074.0
2,4048.37,2229.47
3,15539.2,85623.6
5,11948.1,70285.5
0,12823.0,68073.0
0,13010.7,111613.0
3,9833.73,51810.7
3,24016.4,280750.0
2,5793.87,7660.14
3,11253.4,87103.4
4,18163.7,159812.0
2,8635.09,9618.1
4,5655.36,7135.8
4,9712.19,34426.9
1,3494.67,1437.77
0,5945.33,1776.01
5,22439.7,282722.0
4,22555.7,516177.0
4,8993.53,21945.4
0,21841.7,375981.0
4,8815.98,27315.0
5,9236.4,30433.3
3,4771.49,3136.24
3,11659.4,33562.7
4,23256.2,282723.0
3,5512.77,3371.57
5,13717.9,94747.9
3,6798.08,13429.8
4,13755.2,47336.0
3,22719.8,414043.0
0,17227.4,277641.0
3,6410.0,7458.94
4,5831.68,11119.3
5,12598.4,71637.2
0,6191.28,8489.3
2,4167.36,2192.04
5,9901.28,24315.6
3,5954.92,7555.29
3,13384.6,48029.1
0,8214.82,31749.0
0,11868.5,55331.0
3,16728.4,162162.0
0,21154.7,175130.0
2,10369.0,10518.5
0,15160.0,91289.0
0,4611.53,2769.0
3,11944.8,115635.0
4,9398.21,26234.4
0,6751.72,10607.0
1,5382.6,4320.41
0,11852.3,59052.0
4,13304.0,98176.2
5,9399.52,37849.5
0,14274.2,57692.0
4,9544.8,27754.9
3,11115.3,83593.5
2,5587.06,4154.12
4,8104.63,4633.68
2,5771.52,4173.87
3,12173.5,113351.0
5,9058.63,13430.0
4,18363.4,161065.0
0,9773.13,30178.1
2,4156.11,2158.09
0,10059.4,25711.0
0,16263.7,140452.0
0,11316.7,31063.0
4,9798.71,34343.8
0,16321.3,118728.0
5,6358.75,5200.46
0,8129.69,12485.0
5,13662.9,98430.3
0,9969.04,37380.0
3,11532.2,44871.4
0,8891.96,8580.0
3,11539.6,114305.0
0,16117.0,141951.0
5,8997.19,28728.2
4,13685.8,98380.3
2,25404.8,472342.0
3,22471.6,412086.0
4,10427.2,26092.9
3,12184.6,89290.7
3,8598.82,26340.6
5,19267.5,196483.0
5,10433.5,28618.6
2,6316.62,12958.2
3,13977.0,141247.0
3,20699.0,248377.0
3,15142.0,60470.1
5,13007.2,44998.2
0,8751.63,14889.0
3,14383.9,51081.9
5,8696.1,10058.8
3,16370.9,173366.0
2,15425.9,83662.8
0,14445.9,124944.0
4,18465.7,398873.0
3,6167.71,10370.5
0,19057.6,366884.0
4,16634.4,145365.0
3,15730.1,110856.0
0,14469.9,80813.0
3,9658.82,10190.5
3,12462.5,60594.3
4,9665.2,20892.6
3,23779.2,262549.0
4,9650.88,27466.9
3,7767.28,12235.0
3,21749.2,410106.0
2,3973.8,1447.52
4,13993.3,90825.8
4,12632.6,46391.7
0,4237.13,2484.0
4,7761.04,12579.3
0,9782.13,41885.0
4,8520.2,27422.6
4,5831.75,11119.2
2,5437.92,4262.17
5,15325.9,84615.2
3,10697.1,49584.4
2,13351.4,40263.2
0,7093.75,12571.0
3,10591.3,25737.6
0,6305.26,4342.0
4,23173.3,516224.0
3,5055.19,3249.8
2,6329.23,7320.94
3,24128.5,279957.0
3,7397.18,14879.8
3,4986.74,3178.44
3,8766.46,26176.9
3,8353.16,9894.1
2,7221.03,9289.35
5,12452.9,71412.6
3,5237.35,3157.56
4,11158.8,39647.6
3,14329.4,58233.7
4,13194.6,81092.0
5,7558.99,7511.58
3,14539.1,141501.0
0,23961.3,354096.0
3,11062.5,85192.7
5,9448.28,38130.8
0,9017.84,20768.0
2,5797.85,4268.28
0,23164.1,626764.0
0,8072.84,30931.0
5,8622.52,37689.6
2,12075.6,36356.0
0,13184.9,181069.0
0,15180.4,122375.0
5,11562.4,48079.4
1,11536.9,68785.0
3,8548.76,24902.6
3,9492.75,39256.8
0,11855.9,104601.0
2,10280.7,42748.7
3,9764.24,42738.6
2,2751.72,63.3573
4,7674.0,8013.07
4,5614.79,3414.74
0,5772.69,4598.0
2,15365.0,115567.0
4,10336.5,37402.5
0,22302.8,539834.0
3,13799.6,90961.7
0,7492.75,9478.59
3,14637.5,139653.0
4,5245.38,4512.69
4,7124.67,9278.52
3,10619.0,85260.6
0,18705.1,267599.0
0,14451.4,74148.0
2,5820.1,7524.57
0,17068.8,178744.0
4,8840.38,28729.4
3,9906.96,10780.6
0,17228.7,230844.0
0,8546.7,11175.0
3,13213.6,79811.6
4,6919.3,4087.83
4,20322.7,249718.0
4,8034.49,16553.2
0,8267.63,27280.0
0,12225.9,52519.9
0,12604.9,41364.0
0,17573.4,268551.0
2,6825.99,5346.56
4,9978.71,38242.1
2,12055.1,34441.2
4,20931.1,183794.0
4,22429.2,406787.0
4,9376.99,28721.3
2,5461.83,4349.85
3,15798.2,115111.0
0,8942.5,39996.0
0,7314.27,9436.0
4,2408.51,50.0457
4,5641.47,7183.05
3,16803.1,175455.0
2,10756.5,69622.4
0,23082.5,309652.0
3,11321.1,85817.3
4,9612.66,23616.5
3,21499.4,465709.0
0,12260.4,39182.0
0,18588.3,232299.0
0,9333.64,25863.0
3,12271.5,52969.3
2,11764.8,74748.4
3,8485.72,13431.2
2,21456.9,409991.0
0,7355.22,11978.0
2,6425.64,13424.5
2,17718.0,163265.0
4,12282.8,46748.0
0,14333.8,235068.0
0,27622.6,437696.0
0,11265.7,60754.0
2,12850.1,74233.4
4,9462.34,16404.4
0,10098.7,43197.0
2,12854.2,115837.0
4,5927.07,4325.65
4,16616.2,200678.0
3,13118.1,90940.7
0,11157.9,39520.0
5,25518.3,479263.0
0,12282.0,67246.0
3,9596.96,52031.6
2,7444.32,9535.62
0,13561.0,144015.0
4,8396.6,12233.2
0,14941.2,86906.0
0,11086.0,45950.0
3,11751.8,52284.9
3,13579.3,142646.0
2,10544.3,38120.2
1,6011.7,4775.39
0,10241.5,34794.0
5,7888.73,4883.07
2,3904.15,1452.75
4,10235.5,38842.4
0,26414.4,757543.0
3,5097.85,1646.18
0,5004.54,1073.0
4,12692.9,54873.3
3,25132.5,470341.0
5,3430.09,1969.8
5,14003.6,47926.5
0,8649.42,21504.0
4,7610.95,9130.35
3,15150.5,60381.5
4,20159.3,197060.0
0,13652.0,165927.0
4,8750.62,11283.2
4,9450.85,25682.7
5,11716.8,61673.8
1,5927.07,5113.75
0,18165.5,204814.0
4,8733.32,13336.5
3,13781.5,50910.6
5,9515.33,30625.6
5,9006.17,37489.1
2,10142.7,10457.2
0,9928.82,49921.0
2,6679.29,13292.9
0,3691.12,1410.5
3,8618.63,25035.6
4,25758.1,277467.0
4,17010.5,111172.0
5,8949.81,28996.3
0,9404.98,25456.0
3,7288.54,14178.6
1,2518.96,51.3272
0,12224.0,62391.0
3,6155.14,10204.3
4,22021.4,516401.0
2,8292.89,11997.5
0,9015.47,27283.0
0,15553.3,145531.0
3,8528.63,21168.9
0,4746.93,2021.0
5,9626.08,52132.7
3,14406.8,143278.0
3,10594.9,85411.9
0,15785.5,123102.0
2,2435.41,60.9691
4,8851.88,17191.0
3,10694.2,37905.5
0,16374.5,214421.0
0,29586.5,849315.0
0,6008.03,4506.0
5,6885.9,8702.4
4,11047.1,39556.8
3,11552.7,47425.0
0,15824.7,190186.0
2,15368.4,117269.0
3,9584.34,27657.9
3,8174.08,9778.28
2,12689.4,37164.5
4,7061.03,4059.86
0,12005.7,74442.0
0,11459.4,49001.0
4,12887.9,46893.8
5,12666.0,71613.4
0,10858.2,41126.0
5,8335.84,10317.9
3,10812.0,38484.3
4,9230.25,28713.3
3,6399.87,10268.0
3,13403.6,60862.4
4,7663.9,10157.7
5,5249.25,2092.77
0,12324.9,94102.0
2,5328.99,3456.15
3,6704.25,5176.73
4,12973.4,46644.8
0,7114.44,14646.0
0,12370.2,44187.0
3,14272.7,57841.0
4,11546.3,50352.7
3,9808.29,26360.6
