ID,ZIP Code,Mortgage,Personal Loan,CD Account,CreditCard
124,?,0,0,0,0
125,92121,118,0,0,0
126,91301,0,0,0,0
127,92096,101,0,0,1
128,92646,251,0,0,0
129,92182,0,0,0,0
130,92131,0,0,0,1
131,94801,276,0,0,0
132,?,0,1,1,1
133,90840,0,0,0,0
134,90245,0,0,0,0
135,95035,0,0,0,0
136,?,0,0,0,1
137,95035,0,0,0,0
138,95054,0,0,0,0
139,94928,0,0,1,1
140,93305,0,0,0,0
141,90245,161,0,0,1
142,95831,149,0,0,1
143,91770,0,0,0,1
144,94117,0,0,0,1
145,92093,0,0,0,0
146,90007,0,0,0,1
147,94102,0,0,0,1
148,94542,188,0,0,0
149,91423,116,0,0,0
150,93955,0,0,0,0
151,94107,0,0,1,1
152,92834,0,1,0,1
153,93117,0,0,0,1
154,94551,0,0,1,1
155,92612,0,0,0,0
156,?,0,0,0,0
157,92131,0,0,0,1
158,94025,0,0,0,1
159,94720,0,0,0,1
160,94545,0,0,0,0
161,95819,0,1,0,0
162,95053,0,0,0,0
163,90036,0,0,0,0
164,91125,0,0,0,0
165,95120,0,0,0,0
166,94706,0,0,0,0
167,95827,0,0,0,0
168,94305,0,0,0,1
169,91320,0,0,0,0
170,90503,0,0,0,1
171,?,0,0,0,0
172,95817,0,0,0,0
173,92717,0,0,0,0
174,90095,0,0,0,1
175,95503,0,1,0,0
176,91711,0,0,0,0
177,93111,135,0,0,0
178,94132,244,0,0,0
179,95818,0,0,0,1
180,91942,0,0,0,0
181,90401,164,0,0,0
182,93524,81,0,0,0
183,95133,0,0,0,0
184,92173,0,1,0,0
185,92717,0,0,0,0
186,91320,0,0,0,0
187,95616,0,0,0,1
188,94305,315,1,0,0
189,91320,122,0,0,0
190,94043,0,0,0,0
191,?,0,0,0,0
192,90404,140,0,0,0
193,92122,0,0,0,0
194,93118,0,0,0,1
195,?,0,0,0,0
196,94577,95,0,0,0
197,93407,0,0,0,1
198,91345,89,0,0,0
199,94123,90,0,0,0
200,92152,0,1,1,1
201,91355,0,0,0,1
202,94609,0,0,0,1
203,94306,0,0,0,0
204,95747,0,0,0,0
205,96150,105,0,0,0
206,95616,100,0,0,1
207,91355,0,0,0,0
208,94115,0,0,0,0
209,94110,0,0,0,1
210,94707,282,1,1,1
211,92131,0,0,0,0
212,94720,0,0,0,0
213,91604,209,0,0,0
214,91326,0,0,0,0
215,90291,0,0,0,0
216,95818,249,0,0,1
217,95521,0,0,0,0
218,94305,0,0,0,0
219,92807,0,0,0,0
220,94707,0,0,0,1
221,92130,0,0,0,1
222,95051,0,0,0,0
223,94306,0,0,0,0
224,95014,0,0,0,0
225,94305,91,0,0,0
226,94720,0,0,0,1
227,94085,0,0,0,0
228,94551,0,0,1,1
229,92677,98,0,1,1
230,93117,145,0,0,1
231,94720,0,0,0,0
232,94304,0,0,0,0
233,94122,135,0,0,0
234,91320,0,0,0,0
235,95616,150,0,0,0
236,94720,0,0,0,0
237,93407,0,0,0,1
238,92521,0,0,0,0
239,95831,0,0,0,1
240,94112,0,0,0,0
241,90089,169,0,0,0
242,91711,0,0,0,1
243,94005,280,0,0,0
244,90095,99,1,1,0
245,94025,78,0,0,0
246,92614,0,0,0,0
247,94025,0,0,0,1
248,92626,111,1,1,0
249,92121,264,0,0,1
250,90089,113,0,0,1
251,94305,117,0,0,0
252,92182,325,1,0,0
253,91711,0,0,0,1
254,94583,0,0,0,0
255,91942,121,1,0,0
256,92103,138,0,0,1
257,?,0,0,0,1
258,92691,0,0,0,1
259,?,0,0,0,0
260,94107,77,0,0,0
261,92407,0,0,0,1
262,?,251,1,0,0
263,90245,0,0,1,1
264,92121,112,0,0,1
265,90840,0,0,0,0
266,94305,98,0,0,0
267,94720,0,0,0,0
268,90504,138,0,0,0
269,94002,0,0,0,0
270,95039,0,0,0,0
271,94063,0,0,0,0
272,94923,0,0,0,0
273,95023,158,0,0,1
274,90095,0,0,0,0
275,95616,0,0,0,1
276,94706,0,0,0,0
277,90058,109,0,0,0
278,92126,0,0,0,0
279,91125,0,0,0,0
280,94577,0,0,0,0
281,92121,164,0,0,0
282,94118,0,0,0,1
283,91711,0,0,0,0
284,90029,0,0,0,0
285,92806,0,0,0,0
286,94305,0,0,0,0
287,94806,131,0,0,0
288,92110,0,0,0,1
289,94306,391,1,1,0
290,92121,0,0,0,1
291,92373,0,0,0,0
292,90089,88,0,0,0
293,94542,129,0,0,1
294,90095,0,0,0,0
295,94536,0,0,0,0
296,94304,0,0,0,1
297,90623,0,0,0,0
298,93720,0,0,0,0
299,92069,0,0,0,0
300,?,0,1,1,0
301,92843,0,0,0,0
302,92120,196,0,0,0
303,94550,0,0,0,0
304,95605,617,1,0,0
305,90740,0,0,0,0
306,91207,123,0,0,0
307,92373,0,0,0,1
308,90401,0,0,0,0
309,94720,0,0,1,1
310,95929,0,0,0,0
311,90277,0,0,0,1
312,94550,167,0,0,0
313,91741,0,0,0,0
314,93720,0,0,0,1
315,93437,0,0,0,0
316,90630,0,0,0,0
317,95054,0,1,0,0
318,91335,0,1,0,0
319,95670,190,0,0,0
320,90034,0,0,0,1
321,90266,248,0,0,0
322,92717,82,1,0,0
323,92007,0,1,1,0
324,90034,0,1,0,0
325,90089,0,1,0,0
326,95039,0,0,0,1
327,95616,0,0,1,1
328,91330,402,0,0,0
329,94110,0,0,0,1
330,90064,0,0,0,0
331,92374,0,0,0,0
332,94115,0,0,0,0
333,95630,0,0,0,0
334,92407,0,0,0,0
335,?,0,0,0,0
336,95827,360,0,1,1
337,95051,0,0,0,0
338,94117,0,0,0,0
339,93657,392,0,0,0
340,92110,0,0,0,0
341,93524,0,0,0,1
342,92038,185,0,0,0
343,91304,0,0,0,1
344,93407,103,0,0,0
345,92606,138,0,0,1
346,92192,78,0,0,0
347,90745,0,0,0,0
348,94305,0,0,1,1
349,95060,0,1,1,1
350,93407,132,1,0,0
351,94301,0,0,0,0
352,92182,0,1,0,0
353,92692,0,0,0,1
354,95818,0,0,0,0
355,90277,419,0,0,0
356,92101,0,0,0,1
357,94704,88,0,0,0
358,94610,81,0,0,0
359,94539,0,0,0,0
360,93106,0,0,0,0
361,94539,0,0,0,0
362,90254,0,0,0,0
363,?,270,0,0,1
364,92691,0,0,0,0
365,92028,148,0,0,1
366,90089,466,1,0,0
367,92717,0,0,0,0
368,95054,175,0,0,0
369,92054,159,0,0,0
370,95051,0,0,0,1
371,92101,147,0,0,0
372,92029,0,0,0,0
373,93105,174,0,0,0
374,90291,111,0,0,1
375,91941,220,0,0,0
376,92346,0,0,0,0
377,94304,0,0,0,0
378,94402,0,0,0,0
379,94618,0,0,0,0
380,92093,0,0,0,0
381,94305,0,0,0,1
382,95616,0,0,0,1
383,94904,0,1,0,1
384,94608,0,0,0,0
385,9307,0,0,0,1
386,93943,0,0,0,0
387,95051,0,0,0,0
388,95482,0,0,0,0
389,95814,0,1,0,0
390,90024,0,0,0,1
391,92521,0,0,0,0
392,94080,0,0,0,1
393,91709,0,0,0,0
394,90095,109,0,1,1
395,91311,0,0,0,1
396,94509,0,0,0,0
397,93023,0,0,0,0
398,90503,0,0,0,0
399,94608,0,0,0,0
400,90024,0,0,0,1
401,94542,0,1,0,0
402,95747,112,0,0,1
403,91604,133,0,1,1
404,?,0,0,0,0
405,92866,182,0,0,0
406,90245,290,0,1,1
407,92354,0,0,0,0
408,93437,0,0,0,0
409,91745,0,0,0,0
410,90019,125,0,0,0
411,94111,0,0,0,1
412,92182,0,0,0,0
413,93311,0,0,0,0
414,92407,0,0,0,0
415,94309,0,0,0,1
416,93106,124,0,0,0
417,94304,0,0,0,0
418,90073,0,0,0,0
419,90089,0,0,0,0
420,94501,0,0,0,1
421,93105,0,0,0,1
422,92333,0,1,0,0
423,91380,0,0,1,0
424,?,0,0,0,0
425,92029,0,0,0,0
426,90505,0,0,0,0
427,92182,0,0,0,1
428,92521,116,0,0,1
429,94720,116,0,0,1
430,94998,0,0,0,0
431,94086,161,0,0,0
432,94305,224,0,0,0
433,91311,0,0,0,0
434,91330,141,0,0,1
435,95819,0,0,0,0
436,94709,0,0,0,0
437,92122,112,0,0,0
438,95825,0,0,0,0
439,93943,119,1,1,1
440,94304,0,0,0,0
441,92626,139,0,0,0
442,93555,0,0,0,0
443,95136,115,1,0,0
444,90509,0,0,0,0
445,93106,0,0,0,1
446,94590,0,0,0,0
447,93108,0,0,0,1
448,95134,0,0,0,0
449,94588,0,0,0,1
450,91706,0,0,0,0
451,95747,0,0,0,1
452,94132,89,0,0,0
453,94022,0,0,0,0
454,92109,0,0,0,0
455,94110,0,0,0,0
456,91107,0,0,0,0
457,92068,116,0,0,0
458,94303,0,0,0,0
459,95841,0,0,0,1
460,91107,458,0,0,0
461,90277,0,0,0,1
462,92123,0,0,0,0
463,91423,0,1,0,0
464,94928,0,1,1,0
465,94305,0,1,0,1
466,94305,172,0,0,0
467,91342,0,0,0,0
468,90232,0,0,0,1
469,92634,0,0,0,0
470,94609,0,0,0,1
471,91006,0,0,0,0
472,91768,161,0,0,1
473,90007,156,0,0,0
474,93955,547,1,0,0
475,90028,0,0,0,0
476,92008,0,1,0,0
477,92717,0,0,0,1
478,95112,78,0,0,0
479,95060,0,0,0,1
480,92154,470,0,0,1
481,94998,0,0,0,1
482,94063,0,0,0,1
483,94022,88,1,1,0
484,90095,0,0,0,0
485,95023,0,0,0,1
486,95014,0,0,0,0
487,92173,304,0,0,0
488,94117,0,0,0,1
489,94122,0,0,0,0
490,91380,0,0,1,1
491,94303,0,0,0,0
492,92115,104,0,0,0
493,94596,0,0,0,0
494,94720,0,0,0,1
495,92647,0,0,0,0
496,94545,0,0,0,1
497,94301,0,0,0,0
498,90623,0,0,0,0
499,95023,0,0,0,1
500,93108,0,0,0,0
501,92177,0,0,0,0
502,?,0,0,0,0
503,92833,0,0,0,0
504,94022,185,0,0,1
505,94720,0,0,0,0
506,94305,0,1,0,0
507,94608,0,0,0,0
508,91380,0,0,0,0
509,95521,0,0,0,0
510,90503,112,0,0,0
511,95136,221,0,0,0
512,94143,0,0,0,0
513,95035,108,0,0,1
514,94607,0,0,0,0
515,91730,0,0,0,0
516,92780,211,0,0,1
517,90009,0,0,0,0
518,92834,169,0,0,0
519,92677,0,0,0,0
520,95616,105,0,0,0
521,?,129,0,0,1
522,92518,0,0,0,0
523,91007,224,0,0,0
524,93023,0,0,0,0
525,93014,0,0,0,0
526,94024,179,0,0,0
527,93106,271,0,0,1
528,90027,89,0,0,0
529,90089,378,1,0,0
530,95207,0,0,0,0
531,91706,0,0,0,1
532,90401,0,0,1,1
533,94305,113,0,1,1
534,92807,0,0,0,0
535,93117,0,0,0,0
536,94143,0,0,0,0
537,92173,176,0,0,0
538,90717,0,1,0,0
539,94534,76,0,0,1
540,94720,117,0,0,0
541,94010,314,0,0,0
542,95014,0,0,0,0
543,94709,0,0,0,0
544,94704,90,0,0,1
545,91614,0,0,0,0
546,94303,87,0,0,0
547,94025,203,0,0,0
548,94132,180,0,1,1
549,94117,0,0,0,1
550,94110,0,0,0,1
551,94301,0,0,0,1
552,93118,0,0,0,1
553,90024,230,0,0,0
554,91330,0,0,0,0
555,94720,0,0,0,0
556,92037,137,0,1,1
557,93105,129,0,0,0
558,95039,0,0,0,1
559,95064,0,0,0,0
560,?,138,0,0,0
561,93943,0,0,0,0
562,94234,0,0,0,0
563,94035,0,0,0,1
564,94608,0,0,0,0
565,94904,152,0,0,0
566,90210,0,0,0,0
567,95060,0,1,1,1
568,95112,0,0,0,0
569,?,161,0,0,1
570,95136,185,0,0,0
571,94928,485,1,1,0
572,94143,0,0,0,0
573,?,0,0,0,0
574,95020,0,0,0,1
575,94709,0,0,0,1
576,91107,0,0,0,0
577,92870,0,0,0,1
578,94043,0,0,0,0
579,92124,0,0,0,1
580,93524,0,0,0,0
581,90049,0,0,0,1
582,94521,0,0,0,1
583,95678,155,0,0,0
584,95045,0,0,0,0
585,91604,300,0,0,0
586,92653,0,0,0,0
587,94305,0,0,0,1
588,93305,272,0,0,0
589,93117,0,0,1,1
590,92821,0,0,0,0
591,94612,0,0,0,0
592,92037,0,0,0,0
593,95051,0,0,1,1
594,90025,0,0,0,0
595,94143,144,0,0,0
596,92121,94,0,0,0
597,?,0,1,0,0
598,92835,0,0,0,1
599,92374,90,0,0,0
600,94720,0,0,0,1
601,94143,0,0,0,0
602,91320,0,0,0,1
603,95035,0,0,0,0
604,94720,89,0,0,0
605,90245,240,0,0,1
606,91330,0,0,0,1
607,91741,208,0,0,0
608,95014,0,1,0,0
609,91910,0,0,0,0
610,91770,0,0,0,0
611,94132,275,0,0,0
612,94701,83,0,0,0
613,90095,0,0,0,1
614,94904,0,0,0,0
615,?,0,0,0,1
616,93943,0,0,0,0
617,94025,0,0,0,1
618,94024,0,0,0,0
619,91320,115,0,0,0
620,?,0,0,0,0
621,91129,0,1,0,0
622,91125,0,0,0,0
623,93555,131,0,0,0
624,95616,78,0,0,0
625,92821,122,0,0,0
626,95605,211,0,0,0
627,94305,100,0,0,1
628,92677,0,0,0,0
629,90071,0,0,0,0
630,91711,218,0,1,1
631,96651,108,0,0,1
632,94960,0,0,0,0
633,94720,0,1,0,0
634,94583,0,0,0,1
635,90034,0,0,1,1
636,?,169,0,0,0
637,92037,196,0,0,0
638,90245,0,0,0,0
639,92054,0,0,0,0
640,92646,0,0,0,1
641,94960,327,0,0,0
642,95060,0,0,0,0
643,94132,0,0,0,0
644,91902,0,0,0,0
645,92121,0,0,0,0
646,95120,322,0,0,0
647,90033,0,0,0,0
648,95064,123,0,1,1
649,95621,0,0,0,0
650,92677,0,0,0,0
651,90037,163,1,0,0
652,92121,131,0,0,0
653,90005,0,0,0,0
654,92691,205,0,0,1
655,93940,0,1,0,0
656,91109,0,0,0,0
657,94539,145,0,0,0
658,95207,0,0,0,0
659,91711,0,0,0,0
660,93009,0,0,0,1
661,92126,0,0,0,0
662,94720,0,0,0,0
663,?,0,1,0,0
664,90503,0,0,0,0
665,95126,227,0,0,1
666,92866,0,0,0,0
667,92120,0,0,1,1
668,93106,190,0,0,0
669,94010,0,0,0,0
670,94109,0,0,0,0
671,92374,239,0,0,0
672,92612,282,1,1,0
673,96651,0,0,0,0
674,95670,85,0,0,0
675,95827,0,0,0,0
676,91711,160,0,0,0
677,94063,103,0,0,1
678,92780,0,0,0,0
679,92101,207,0,0,0
680,92093,364,0,0,0
681,?,0,0,0,1
682,94720,0,1,0,0
683,90504,0,0,0,1
684,91311,0,0,0,0
685,90266,449,0,0,0
686,93107,0,0,0,0
687,92612,0,0,0,0
688,92120,0,0,0,0
689,94304,207,0,0,0
690,94591,0,0,1,0
691,94115,75,0,0,0
692,90025,113,0,0,1
693,94720,111,0,0,0
694,92096,107,0,0,0
695,90740,81,0,0,0
696,92717,0,0,0,0
697,92251,82,0,0,0
698,92648,0,0,0,0
699,92028,220,0,0,0
700,95060,91,0,0,0
701,90089,0,0,0,1
702,93106,0,0,0,1
703,92709,0,1,0,0
704,94022,92,0,0,0
705,94065,0,0,0,0
706,94720,0,0,0,0
707,95819,0,0,0,0
708,95064,0,0,0,1
709,92182,115,0,0,0
710,95841,0,0,0,0
711,94085,87,0,0,1
712,91754,187,0,0,0
713,94123,0,0,0,0
714,92009,0,0,0,0
715,92068,0,0,0,0
716,92130,0,0,1,1
717,96064,161,0,0,1
718,93940,0,0,0,1
719,90024,137,0,1,1
720,92521,0,0,0,0
721,94025,0,0,0,0
722,92717,0,0,0,0
723,91103,0,1,1,1
724,94301,0,0,0,0
725,94086,0,0,0,0
726,92037,0,0,0,0
727,91030,0,0,0,0
728,92037,0,0,0,0
729,94720,0,1,0,0
730,93106,0,0,0,1
731,95616,205,0,0,0
732,90066,0,0,0,1
733,90064,0,0,0,0
734,92009,0,0,0,0
735,92182,0,0,0,1
736,95403,0,0,0,0
737,91016,0,1,0,0
738,94709,0,1,0,0
739,94596,0,0,0,0
740,91902,0,0,0,0
741,90266,0,0,0,0
742,94590,0,0,0,0
743,92626,0,0,0,0
744,94539,0,0,1,1
745,94720,0,0,0,0
746,93955,0,0,0,1
747,95051,0,0,0,0
748,94112,0,0,1,0
749,?,0,0,0,0
750,92008,0,0,0,1
751,93106,0,0,0,0
752,90210,355,0,0,0
753,90071,0,0,0,0
754,94720,0,0,0,1
755,95020,0,0,1,1
756,91103,0,0,0,1
757,95348,0,0,0,0
758,91745,0,0,0,0
759,90266,0,0,0,0
760,91950,0,0,0,0
761,92122,0,0,0,0
762,92152,166,0,0,0
763,90504,100,0,0,0
764,94122,0,0,0,1
765,95051,314,0,0,1
766,95822,0,1,0,0
767,94538,0,0,0,0
768,92024,108,0,0,0
769,90024,0,0,0,0
770,90250,119,0,0,0
771,94551,0,1,0,0
772,91614,106,0,0,0
773,92093,0,1,1,1
774,92612,0,0,0,1
775,92154,0,0,0,1
776,92835,0,0,0,1
777,92121,91,1,0,0
778,95060,76,0,0,1
779,94801,0,0,0,0
780,?,0,1,0,0
781,92634,0,0,0,1
782,94588,0,1,0,0
783,92056,587,1,1,1
784,94606,0,0,0,0
785,94115,0,0,0,0
786,?,0,0,1,1
787,94305,0,0,0,0
788,91380,0,1,0,0
789,92521,0,0,0,0
790,92126,0,0,0,0
791,92028,0,0,0,1
792,94501,0,0,0,0
793,93117,0,0,0,1
794,?,0,0,0,0
795,91301,0,0,0,0
796,92806,0,0,0,1
797,93657,0,0,0,0
798,94998,0,0,0,0
799,93063,0,0,0,0
800,95051,0,0,0,0
801,91040,0,0,0,0
802,92612,0,0,0,0
803,92521,214,0,0,0
804,92661,82,0,0,0
805,94061,0,0,0,0
806,95758,307,1,0,0
807,94542,0,0,0,0
808,92096,0,0,0,0
809,92068,0,0,0,0
810,94304,0,0,0,1
811,92182,0,0,0,0
812,94720,0,0,0,0
813,90089,0,0,0,0
814,94720,0,1,0,0
815,93943,0,0,0,1
816,94596,118,0,0,0
817,?,263,0,0,1
818,90291,91,0,0,0
819,95039,0,0,0,1
820,90024,0,0,0,0
821,90740,0,0,0,0
822,92093,0,0,0,0
823,96091,0,0,0,0
824,90509,0,0,0,1
825,94801,0,0,0,0
826,95616,0,0,0,0
827,93555,0,0,0,0
828,94542,88,0,0,1
829,94542,75,0,0,0
830,90254,0,0,0,0
831,92407,81,0,0,0
832,94066,0,0,0,0
833,90630,0,0,0,0
834,94939,0,0,0,0
835,95138,0,1,1,0
836,92691,193,0,0,1
837,92123,0,0,0,1
838,92096,81,0,0,0
839,92507,0,0,0,0
840,92646,0,0,0,0
841,92373,310,0,0,1
842,94542,0,0,0,0
843,92101,0,0,0,0
844,94720,0,0,0,0
845,95762,127,0,0,0
846,94706,0,0,0,1
847,92154,0,0,0,0
848,94539,252,0,0,0
849,94720,0,0,0,0
850,94305,0,0,1,1
851,95054,0,0,0,0
852,94521,0,0,0,0
853,92064,127,0,0,1
854,95138,0,0,0,0
855,95814,0,0,0,0
856,92152,77,0,0,0
857,94025,0,0,0,0
858,95616,0,0,1,1
859,94720,0,0,0,0
860,92182,170,1,0,0
861,95841,145,0,0,0
862,92354,124,0,0,0
863,94025,101,0,0,0
864,90095,265,0,0,0
865,94080,0,0,0,0
866,92037,139,0,0,1
867,94611,0,0,0,0
868,94708,0,0,0,0
869,?,0,0,0,1
870,93014,0,0,0,1
871,92106,0,0,0,0
872,?,0,0,0,0
873,90095,0,0,0,0
874,90740,134,0,0,0
875,92056,0,0,0,1
876,95616,123,0,0,0
877,94025,0,0,0,0
878,95123,0,0,0,0
879,95616,0,0,0,0
880,91768,0,0,0,0
881,91604,177,0,0,0
882,92116,0,0,0,0
883,94117,0,0,0,0
884,92703,305,0,0,0
885,91709,0,0,0,0
886,94304,0,0,0,0
887,93907,0,0,0,0
888,94720,0,0,0,0
889,94114,372,1,0,0
890,91103,0,0,0,1
891,92780,79,0,0,0
892,94102,301,1,1,1
893,95616,0,0,0,0
894,93943,0,0,0,1
895,95064,232,0,0,1
896,94608,289,0,1,1
897,95133,212,1,0,0
898,92691,137,0,0,1
899,94111,0,0,0,0
900,91302,0,1,0,1
901,94709,172,0,0,1
902,95616,0,0,0,0
903,95054,0,0,0,0
904,90048,250,0,0,0
905,90503,0,0,0,0
906,94720,84,0,0,1
907,94720,130,0,0,0
908,91711,115,0,0,1
909,93023,0,0,0,1
910,91709,305,0,0,1
911,92120,0,0,0,1
912,94538,0,0,0,0
913,94105,0,0,0,0
914,92507,0,0,0,0
915,91711,0,1,1,1
916,94550,303,0,0,0
917,92192,0,0,0,0
918,90405,0,0,0,1
919,92325,0,0,0,0
920,91116,0,0,0,1
921,94501,0,0,0,0
922,92096,126,0,0,1
923,92868,0,0,1,0
924,95123,0,0,0,0
925,91330,0,0,0,0
926,94720,0,0,0,1
927,93940,103,0,0,0
928,95014,138,1,0,1
929,90638,0,0,0,0
930,92121,91,0,0,1
931,92103,0,0,0,0
932,91302,0,0,0,0
933,94720,0,0,1,1
934,92064,0,0,0,0
935,91320,0,0,0,0
936,95929,256,0,0,1
937,92109,0,0,0,0
938,92093,0,0,0,0
939,95818,124,0,0,0
940,93943,0,0,0,1
941,94303,203,1,0,0
942,92093,140,1,0,0
943,91320,0,0,0,1
944,94701,0,0,0,0
945,90503,0,0,0,1
946,91745,0,0,0,0
947,91355,0,0,0,0
948,94305,84,0,0,0
949,92037,259,0,0,1
950,94720,204,0,0,0
951,95054,0,0,0,0
952,94105,0,1,0,0
953,93943,524,0,0,1
954,92130,0,0,0,0
955,91107,249,1,0,0
956,90840,0,0,0,0
957,90250,0,0,0,0
958,94309,0,0,0,0
959,90747,0,0,0,1
960,94143,163,0,0,0
961,93611,0,0,0,1
962,94114,163,0,0,0
963,95833,135,0,0,0
964,94305,0,0,0,0
965,92037,157,0,0,0
966,94301,0,1,0,0
967,91605,0,0,0,0
968,92675,0,0,0,0
969,92868,0,0,0,1
970,94704,0,0,0,0
971,94928,236,0,0,0
972,92028,231,1,1,1
973,92093,174,0,0,0
974,92703,287,0,0,0
975,90401,0,0,0,0
976,92122,0,1,0,0
977,94109,0,0,0,0
978,95134,205,0,0,0
979,92068,0,0,0,1
980,94720,0,0,0,1
981,92697,0,0,0,1
982,90064,0,1,1,1
983,94402,0,0,0,1
984,92220,0,0,0,0
985,92173,0,0,0,0
986,92120,159,0,0,1
987,90245,0,0,0,0
988,94609,0,0,0,0
989,94998,100,0,0,0
990,94607,247,0,0,0
991,94002,0,0,0,0
992,94025,0,0,0,1
993,94608,0,0,0,0
994,91775,0,1,0,0
995,90650,0,0,0,0
996,94305,0,0,0,1
997,92037,214,0,0,0
998,?,0,0,0,0
999,93106,333,0,0,0
1000,92120,0,0,0,1
1001,92691,91,0,0,0
1002,90717,108,0,0,0
1003,95617,0,0,0,0
1004,94720,229,0,0,0
1005,95054,0,0,0,0
1006,95112,0,0,0,0
1007,91103,0,0,0,0
1008,95064,357,1,0,0
1009,92220,0,0,0,0
1010,91330,140,0,0,0
1011,95616,361,0,1,1
1012,94304,166,0,0,0
1013,95820,0,0,0,1
1014,94551,169,0,0,0
1015,90245,301,1,1,1
1016,94303,0,0,0,0
1017,94720,0,0,0,0
1018,94305,170,0,0,0
1019,90018,127,0,0,0
1020,91745,157,0,0,0
1021,90071,97,0,0,0
1022,92612,0,0,0,1
1023,95605,0,1,0,0
1024,94117,366,0,0,0
1025,93711,0,1,1,0
1026,94545,169,0,0,0
1027,95616,0,0,0,0
1028,94550,0,0,0,0
1029,92096,0,1,0,0
1030,?,0,0,0,0
1031,90024,0,0,0,1
1032,95403,136,0,0,0
1033,94720,0,0,0,1
1034,95973,0,0,0,0
1035,90095,134,0,0,0
1036,94720,0,0,0,0
1037,94720,119,0,0,1
1038,93106,0,0,0,0
1039,95831,0,1,1,1
1040,?,0,1,0,0
1041,91107,163,0,0,0
1042,92780,0,0,0,0
1043,95616,0,0,0,0
1044,95630,0,0,0,0
1045,95827,83,0,0,1
1046,92096,0,0,0,0
1047,94105,0,0,0,0
1048,94143,0,0,0,0
1049,95747,0,0,0,0
1050,94501,0,0,0,0
1051,90095,294,1,1,1
1052,92886,141,0,0,0
1053,95812,103,0,0,1
1054,95819,0,0,0,0
1055,95136,0,0,0,0
1056,95630,0,0,0,0
1057,95020,0,0,0,0
1058,95503,0,0,0,0
1059,94105,86,0,0,0
1060,91203,0,0,0,1
1061,93111,0,0,0,1
1062,91105,0,0,0,0
1063,92220,97,1,0,0
1064,90024,131,0,0,1
1065,95008,0,1,0,0
1066,90401,0,0,0,1
1067,90016,0,1,1,0
1068,95035,0,0,0,0
1069,90035,0,0,0,0
